"Fecha","Desempleo","Inflación","Hombres","Mujeres","Educación"
"2019-diciembre","8","2","7","10","Universidad"
"2019-noviembre","10","0","6","10","Universidad"
"2019-octubre","8","0","7","11","Secundaria"
"2019-septiembre","9","0","6","11","Secundaria"
"2019-agosto","9","0","7","10","Primaria"
"2019-julio","9","0","8","11","Secundaria"
"2019-junio","9","0","7","11","Universidad"
"2019-mayo","8","0","8","10","Secundaria"
"2019-abril","7","0","7","10","Primaria"
"2019-marzo","9","0","5","11","Universidad"
"2019-febrero","8","0","7","10","Secundaria"
"2019-enero","8","0","6","9","Secundaria"
"2018-diciembre","8","2","6","10","Universidad"
"2018-noviembre","7","0","6","8","Universidad"
"2018-octubre","8","0","7","10","Secundaria"
"Septiembre","8","0","6","10","Secundaria"
"2018-agosto","9","0","7","10","Secundaria"
"2018-julio","7","0","5","10","Secundaria"
"2018-junio","7","0","7","8","Primaria"
"2018-mayo","8","0","6","10","Secundaria"
"2018-abril","8","0","6","9","Secundaria"
"2018-marzo","8","0","7","10","Secundaria"
"2018-febrero","9","0","7","11","Primaria"
"2018-enero","8","0","7","9","Universidad"
"2017-diciembre","6","2","5","8","Secundaria"
"2017-noviembre","7","0","6","9","Primaria"
"2017-octubre","7","0","6","9","Secundaria"
"2017-septiembre","7","0","6","9","Secundaria"
"2017-agosto","7","0","6","9","Secundaria"
"2017-julio","7","0","6","8","Primaria"
"2017-junio","7","0","6","9","Secundaria"
"2017-mayo","7","0","6","9","Secundaria"
"2017-abril","8","0","6","10","Secundaria"
"2017-marzo","9","0","6","11","Secundaria"
"2017-febrero","8","0","6","9","Universidad"
"2017-enero","8","0","6","9","Universidad"
"2016-diciembre","7","2","6","9","Secundaria"
"2016-noviembre","7","0","6","9","Secundaria"
"2016-septiembre","7","0","5","8","Universidad"
"2016-agosto","8","0","6","10","Primaria"
"2016-julio","7","0","6","9","Secundaria"
"2016-junio","8","0","7","10","Secundaria"
"2016-mayo","7","0","5","9","Secundaria"
"2016-abril","7","0","6","10","Secundaria"
"2016-marzo","8","0","6","9","Secundaria"
"2016-febrero","8","0","6","9","Primaria"
"2016-enero","8","1","6","9","Primaria"
"2015-diciembre","7","1","6","8","Secundaria"
"2015-noviembre","7","2","6","8","Secundaria"
"2015-octubre","7","0","6","9","Secundaria"
"2015-septiembre","8","0","8","9","Secundaria"
"2015-agosto","7","0","6","9","Primaria"
"2015-julio","7","0","6","9","Secundaria"
"2015-junio","7","1","6","8","Primaria"
"2015-mayo","7","1","6","8","Primaria"
"2015-abril","8","0","6","8","Secundaria"
"2015-marzo","8","0","6","9","Secundaria"
"2015-febrero","7","0","5","8","Primaria"
"2015-enero","6","0","6","8","Universidad"
"2014-diciembre","6","1","5","7","Secundaria"
"2014-noviembre","7","2","4","8","Secundaria"
"2014-octubre","6","0","5","8","Secundaria"
"2014-septiembre","6","0","5","8","Secundaria"
"2014-agosto","6","0","4","7","Primaria"
"2014-julio","5","1","5","8","Universidad"
"2014-junio","6","0","4","6","Secundaria"
"2014-mayo","6","0","5","8","Secundaria"
"2014-abril","6","0","5","8","Primaria"
"2014-marzo","6","0","4","9","Primaria"
"2014-febrero","7","0","4","8","Primaria"
"2014-enero","6","0","5","9","Secundaria"
"2013-diciembre","6","1","5","8","Secundaria"
"2013-noviembre","6","2","4","7","Secundaria"
"2013-octubre","6","0","5","8","Secundaria"
"2013-septiembre","6","0","4","8","Primaria"
"2013-agosto","6","0","4","7","Universidad"
"2013-julio","6","1","5","7","Primaria"
"2013-junio","6","1","5","8","Secundaria"
"2013-mayo","6","0","5","7","Secundaria"
"2013-abril","6","0","5","8","Primaria"
"2013-marzo","6","0","5","8","Primaria"
"2013-febrero","6","0","4","9","Primaria"
"2013-enero","7","0","5","8","Primaria"
"2012-diciembre","5","1","5","8","Secundaria"
"2012-noviembre","6","1","4","7","Secundaria"
"2012-octubre","5","0","4","8","Secundaria"
"2012-septiembre","7","1","4","7","Primaria"
"2012-agosto","5","1","5","9","Primaria"
"2012-julio","6","1","4","6","Secundaria"
"2012-junio","7","0","5","8","Secundaria"
"2012-mayo","7","0","6","8","Secundaria"
"2012-abril","6","0","5","8","Secundaria"
"2012-marzo","5","1","4","8","Universidad"
"2012-febrero","6","0","3","9","Primaria"
"2012-enero","6","1","2","8","Primaria"
